direction,phase,lane,outcome,restored_generation,settled_generation,settled_period,population_at_stop
SE,0,-5,changed_periodic,,73,1,24
SE,0,-4,unresolved_by_horizon,,,,92
SE,0,-3,changed_periodic,,70,1,0
SE,0,-2,changed_periodic,,44,1,0
SE,0,-1,changed_periodic,,41,1,0
SE,0,0,changed_periodic,,39,1,0
SE,0,1,changed_periodic,,38,1,0
SE,0,2,changed_periodic,,60,1,0
SE,0,3,unresolved_by_horizon,,,,105
SE,0,4,changed_periodic,,55,1,24
SE,1,-5,changed_periodic,,72,1,24
SE,1,-4,unresolved_by_horizon,,,,102
SE,1,-3,changed_periodic,,69,1,0
SE,1,-2,changed_periodic,,43,1,0
SE,1,-1,changed_periodic,,40,1,0
SE,1,0,changed_periodic,,38,1,0
SE,1,1,changed_periodic,,37,1,0
SE,1,2,changed_periodic,,59,1,0
SE,1,3,unresolved_by_horizon,,,,99
SE,1,4,changed_periodic,,54,1,24
SE,2,-5,changed_periodic,,71,1,24
SE,2,-4,unresolved_by_horizon,,,,118
SE,2,-3,changed_periodic,,68,1,0
SE,2,-2,changed_periodic,,42,1,0
SE,2,-1,changed_periodic,,39,1,0
SE,2,0,changed_periodic,,37,1,0
SE,2,1,changed_periodic,,36,1,0
SE,2,2,changed_periodic,,58,1,0
SE,2,3,unresolved_by_horizon,,,,99
SE,2,4,changed_periodic,,53,1,24
SE,3,-5,changed_periodic,,70,1,24
SE,3,-4,unresolved_by_horizon,,,,136
SE,3,-3,changed_periodic,,67,1,0
SE,3,-2,changed_periodic,,41,1,0
SE,3,-1,changed_periodic,,38,1,0
SE,3,0,changed_periodic,,36,1,0
SE,3,1,changed_periodic,,35,1,0
SE,3,2,changed_periodic,,57,1,0
SE,3,3,unresolved_by_horizon,,,,129
SE,3,4,changed_periodic,,52,1,24
SW,0,-5,changed_periodic,,51,1,24
SW,0,-4,unresolved_by_horizon,,,,99
SW,0,-3,changed_periodic,,56,1,0
SW,0,-2,changed_periodic,,34,1,0
SW,0,-1,changed_periodic,,35,1,0
SW,0,0,changed_periodic,,37,1,0
SW,0,1,changed_periodic,,40,1,0
SW,0,2,changed_periodic,,66,1,0
SW,0,3,unresolved_by_horizon,,,,140
SW,0,4,changed_periodic,,69,1,24
SW,1,-5,changed_periodic,,50,1,24
SW,1,-4,unresolved_by_horizon,,,,117
SW,1,-3,changed_periodic,,55,1,0
SW,1,-2,changed_periodic,,33,1,0
SW,1,-1,changed_periodic,,34,1,0
SW,1,0,changed_periodic,,36,1,0
SW,1,1,changed_periodic,,39,1,0
SW,1,2,changed_periodic,,65,1,0
SW,1,3,unresolved_by_horizon,,,,136
SW,1,4,changed_periodic,,68,1,24
SW,2,-5,changed_periodic,,49,1,24
SW,2,-4,unresolved_by_horizon,,,,131
SW,2,-3,changed_periodic,,54,1,0
SW,2,-2,changed_periodic,,32,1,0
SW,2,-1,changed_periodic,,33,1,0
SW,2,0,changed_periodic,,35,1,0
SW,2,1,changed_periodic,,38,1,0
SW,2,2,changed_periodic,,64,1,0
SW,2,3,unresolved_by_horizon,,,,141
SW,2,4,changed_periodic,,67,1,24
SW,3,-5,changed_periodic,,48,1,24
SW,3,-4,unresolved_by_horizon,,,,103
SW,3,-3,changed_periodic,,53,1,0
SW,3,-2,changed_periodic,,31,1,0
SW,3,-1,changed_periodic,,32,1,0
SW,3,0,changed_periodic,,34,1,0
SW,3,1,changed_periodic,,37,1,0
SW,3,2,changed_periodic,,63,1,0
SW,3,3,unresolved_by_horizon,,,,113
SW,3,4,changed_periodic,,66,1,24
NW,0,-5,changed_periodic,,69,1,24
NW,0,-4,unresolved_by_horizon,,,,140
NW,0,-3,changed_periodic,,66,1,0
NW,0,-2,changed_periodic,,40,1,0
NW,0,-1,changed_periodic,,37,1,0
NW,0,0,changed_periodic,,35,1,0
NW,0,1,changed_periodic,,34,1,0
NW,0,2,changed_periodic,,56,1,0
NW,0,3,unresolved_by_horizon,,,,99
NW,0,4,changed_periodic,,51,1,24
NW,1,-5,changed_periodic,,68,1,24
NW,1,-4,unresolved_by_horizon,,,,136
NW,1,-3,changed_periodic,,65,1,0
NW,1,-2,changed_periodic,,39,1,0
NW,1,-1,changed_periodic,,36,1,0
NW,1,0,changed_periodic,,34,1,0
NW,1,1,changed_periodic,,33,1,0
NW,1,2,changed_periodic,,55,1,0
NW,1,3,unresolved_by_horizon,,,,117
NW,1,4,changed_periodic,,50,1,24
NW,2,-5,changed_periodic,,67,1,24
NW,2,-4,unresolved_by_horizon,,,,141
NW,2,-3,changed_periodic,,64,1,0
NW,2,-2,changed_periodic,,38,1,0
NW,2,-1,changed_periodic,,35,1,0
NW,2,0,changed_periodic,,33,1,0
NW,2,1,changed_periodic,,32,1,0
NW,2,2,changed_periodic,,54,1,0
NW,2,3,unresolved_by_horizon,,,,131
NW,2,4,changed_periodic,,49,1,24
NW,3,-5,changed_periodic,,66,1,24
NW,3,-4,unresolved_by_horizon,,,,113
NW,3,-3,changed_periodic,,63,1,0
NW,3,-2,changed_periodic,,37,1,0
NW,3,-1,changed_periodic,,34,1,0
NW,3,0,changed_periodic,,32,1,0
NW,3,1,changed_periodic,,31,1,0
NW,3,2,changed_periodic,,53,1,0
NW,3,3,unresolved_by_horizon,,,,103
NW,3,4,changed_periodic,,48,1,24
NE,0,-3,changed_periodic,,55,1,24
NE,0,-2,unresolved_by_horizon,,,,105
NE,0,-1,changed_periodic,,60,1,0
NE,0,0,changed_periodic,,38,1,0
NE,0,1,changed_periodic,,39,1,0
NE,0,2,changed_periodic,,41,1,0
