candidate,population,pattern,attacks,restored,changed_periodic,unresolved_by_horizon,excluded_by_certified_collision,witness_direction,witness_phase,witness_lane,witness_settled_generation,witness_period
sl4x4_000,4,"[[0,0],[0,1],[1,0],[1,1]]",160,0,160,0,True,SE,0,-5,73,1
sl4x4_001,4,"[[0,1],[1,0],[1,2],[2,1]]",160,0,128,32,True,SE,0,-5,59,1
sl4x4_002,5,"[[0,0],[0,1],[1,0],[1,2],[2,1]]",168,0,112,56,True,SE,0,-5,62,1
sl4x4_003,6,"[[0,0],[0,1],[0,3],[1,0],[1,2],[1,3]]",192,0,160,32,True,SE,0,-5,56,1
sl4x4_004,6,"[[0,0],[0,1],[1,0],[1,2],[2,1],[2,2]]",176,0,128,48,True,SE,0,-5,205,1
sl4x4_005,6,"[[0,0],[0,1],[1,0],[1,3],[2,2],[2,3]]",192,0,144,48,True,SE,0,-5,56,1
sl4x4_006,6,"[[0,1],[0,2],[1,0],[1,3],[2,1],[2,2]]",176,0,128,48,True,SE,0,-5,57,1
sl4x4_007,6,"[[0,1],[1,0],[1,2],[2,1],[2,3],[3,2]]",176,0,176,0,True,SE,0,-5,100,1
sl4x4_008,7,"[[0,0],[0,1],[1,0],[1,2],[2,1],[2,3],[3,2]]",184,0,136,48,True,SE,0,-5,74,2
sl4x4_009,7,"[[0,0],[0,1],[1,0],[1,2],[2,2],[3,2],[3,3]]",192,4,136,52,True,SE,0,-3,77,1
sl4x4_010,7,"[[0,1],[0,2],[1,0],[1,3],[2,0],[2,2],[3,1]]",184,0,136,48,True,SE,0,-6,165,1
sl4x4_011,8,"[[0,0],[0,1],[1,0],[1,2],[2,1],[2,3],[3,2],[3,3]]",192,0,128,64,True,SE,0,-3,52,1
sl4x4_012,8,"[[0,1],[0,2],[1,0],[1,3],[2,0],[2,3],[3,1],[3,2]]",192,0,128,64,True,SE,0,-5,230,2
