candidate,population,pattern,attack_count,attacks_tried,excluded,witness_direction,witness_phase,witness_lane,witness_settled_generation,witness_period
sl5x5_000,4,"[[0,0],[0,1],[1,0],[1,1]]",160,1,True,SE,0,-5,73,1
sl5x5_001,4,"[[0,1],[1,0],[1,2],[2,1]]",160,1,True,SE,0,-5,59,1
sl5x5_002,5,"[[0,0],[0,1],[1,0],[1,2],[2,1]]",168,1,True,SE,0,-5,62,1
sl5x5_003,6,"[[0,0],[0,1],[0,3],[1,0],[1,2],[1,3]]",192,1,True,SE,0,-5,56,1
sl5x5_004,6,"[[0,0],[0,1],[1,0],[1,2],[2,1],[2,2]]",176,1,True,SE,0,-5,205,1
sl5x5_005,6,"[[0,0],[0,1],[1,0],[1,3],[2,2],[2,3]]",192,1,True,SE,0,-5,56,1
sl5x5_006,6,"[[0,1],[0,2],[1,0],[1,3],[2,1],[2,2]]",176,1,True,SE,0,-5,57,1
sl5x5_007,6,"[[0,1],[1,0],[1,2],[2,1],[2,3],[3,2]]",176,1,True,SE,0,-5,100,1
sl5x5_008,7,"[[0,0],[0,1],[1,0],[1,2],[1,4],[2,3],[2,4]]",208,1,True,SE,0,-5,56,1
sl5x5_009,7,"[[0,0],[0,1],[1,0],[1,2],[2,1],[2,3],[3,2]]",184,1,True,SE,0,-5,74,2
sl5x5_010,7,"[[0,0],[0,1],[1,0],[1,2],[2,2],[3,2],[3,3]]",192,1,True,SE,0,-5,468,2
sl5x5_011,7,"[[0,1],[0,2],[1,0],[1,3],[2,0],[2,2],[3,1]]",184,1,True,SE,0,-6,165,1
sl5x5_012,8,"[[0,0],[0,1],[0,3],[0,4],[1,0],[1,1],[1,3],[1,4]]",208,3,True,SE,0,-3,76,1
sl5x5_013,8,"[[0,0],[0,1],[1,0],[1,1],[3,3],[3,4],[4,3],[4,4]]",208,1,True,SE,0,-5,98,1
sl5x5_014,8,"[[0,0],[0,1],[1,0],[1,2],[2,1],[2,3],[3,2],[3,3]]",192,3,True,SE,0,-3,52,1
sl5x5_015,8,"[[0,0],[0,1],[1,0],[1,2],[2,2],[3,1],[4,1],[4,2]]",208,1,True,SE,0,-7,105,1
sl5x5_016,8,"[[0,0],[0,1],[1,0],[1,2],[2,3],[3,4],[4,3],[4,4]]",208,1,True,SE,0,-5,57,1
sl5x5_017,8,"[[0,0],[0,1],[1,1],[2,0],[3,1],[3,2],[3,3],[4,3]]",208,1,True,SE,0,-6,68,1
sl5x5_018,8,"[[0,0],[0,1],[1,1],[2,1],[2,3],[3,2],[3,4],[4,3]]",200,1,True,SE,0,-5,65,1
sl5x5_019,8,"[[0,1],[0,2],[1,0],[1,3],[2,0],[2,3],[3,1],[3,2]]",192,1,True,SE,0,-6,346,2
sl5x5_020,8,"[[0,1],[0,2],[1,0],[1,3],[2,1],[2,4],[3,2],[3,3]]",192,1,True,SE,0,-5,57,1
sl5x5_021,8,"[[0,1],[1,0],[1,2],[2,1],[2,3],[3,2],[3,4],[4,3]]",192,1,True,SE,0,-5,66,1
sl5x5_022,9,"[[0,0],[0,1],[0,3],[0,4],[1,1],[1,3],[2,1],[2,3],[3,2]]",208,2,True,SE,0,-4,185,2
sl5x5_023,9,"[[0,0],[0,1],[1,0],[1,2],[2,1],[2,3],[3,2],[3,4],[4,3]]",200,3,True,SE,0,-3,53,2
sl5x5_024,9,"[[0,0],[0,1],[1,0],[1,2],[2,1],[2,3],[3,3],[4,3],[4,4]]",208,1,True,SE,0,-5,64,2
sl5x5_025,9,"[[0,0],[0,1],[1,0],[1,2],[2,2],[3,2],[3,4],[4,3],[4,4]]",208,1,True,SE,0,-5,254,2
sl5x5_026,9,"[[0,0],[0,1],[1,1],[2,1],[2,3],[2,4],[3,2],[3,4],[4,3]]",208,2,True,SE,0,-4,59,1
sl5x5_027,10,"[[0,0],[0,1],[0,3],[0,4],[1,0],[1,1],[1,3],[2,3],[3,3],[3,4]]",224,2,True,SE,0,-4,226,2
sl5x5_028,10,"[[0,0],[0,1],[0,3],[0,4],[1,1],[1,3],[2,0],[2,3],[3,1],[3,2]]",216,1,True,SE,0,-6,105,2
sl5x5_029,10,"[[0,0],[0,1],[1,0],[1,2],[2,1],[2,3],[3,2],[3,4],[4,3],[4,4]]",208,1,True,SE,0,-5,108,2
sl5x5_030,10,"[[0,1],[0,2],[1,0],[1,3],[2,0],[2,2],[2,4],[3,1],[3,3],[4,2]]",200,4,True,SE,0,-3,54,1
sl5x5_031,11,"[[0,0],[0,1],[0,3],[0,4],[1,1],[1,3],[2,0],[2,3],[3,0],[3,2],[4,1]]",224,1,True,SE,0,-7,79,2
sl5x5_032,11,"[[0,1],[0,2],[1,0],[1,3],[2,0],[2,2],[2,4],[3,1],[3,4],[4,2],[4,3]]",208,1,True,SE,0,-6,103,2
sl5x5_033,12,"[[0,0],[0,1],[0,3],[0,4],[1,0],[1,1],[1,3],[2,3],[3,0],[3,1],[3,2],[4,0]]",232,1,True,SE,0,-8,77,2
sl5x5_034,12,"[[0,0],[0,1],[0,3],[0,4],[1,0],[1,4],[2,1],[2,3],[3,0],[3,1],[3,3],[3,4]]",240,1,True,SE,0,-7,97,2
sl5x5_035,12,"[[0,0],[0,1],[0,3],[0,4],[1,1],[1,3],[2,1],[2,3],[3,0],[3,1],[3,3],[3,4]]",240,1,True,SE,0,-7,75,1
